university_name,teaching,international,research,citations,income,total_score,num_students,student_staff_ratio,international_students,year
Brown University,63.7,36.9,60.3,94.1,29.9,68.9,"8,653",10.1,19,2013
Tsinghua University,74.5,37.2,76.4,55.2,99.2,67.1,"39,763",13.7,10,2013
Ohio State University,66.7,46.3,60.9,80.1,49.5,67,"51,462",13.4,12,2013
Boston University,65.4,39.2,50.9,94.2,30.6,66.8,"24,789",8.6,17,2013
Kyoto University,77.1,26.3,74.8,57.8,76.4,66.8,"22,809",5.6,7,2013
University of Southern California,68.4,43.4,57.1,81.9,33.5,66.3,"36,534",12.9,20,2013
King‰Ûªs College London,53.5,86,59.3,82.8,42.4,66.2,"21,394",11.4,37,2013
KU Leuven,59.7,56.6,71,67.2,99.7,66.1,"42,503",41.9,18,2013
Seoul National University,76.7,27,81.4,48,81.7,65.9,"26,389",13.9,10,2013
Ìäcole Normale SupÌ©rieure,61.6,67.3,46.9,90.3,47.2,65.9,"2,400",7.9,20,2013
Pennsylvania State University,55,34.9,69.2,81.4,59.7,65.8,"44,501",12.4,12,2013
University of Sydney,59.5,83,70.1,62.9,69.2,65.7,"41,868",20.2,28,2013
Ìäcole Polytechnique,56.5,83,54.7,80.7,75.8,65.7,"2,429",4.8,30,2013
Leiden University,54,54.8,67.1,78.4,46.1,65.1,"21,222",17.1,10,2013
Hong Kong University of Science and Technology,56.9,78.1,64.6,68.9,55.6,64.4,"11,385",23.8,36,2013
The University of Queensland,54.4,77.8,66.1,69.6,64,64.4,"34,718",32.7,27,2013
Utrecht University,48,47.3,64.7,82.4,82.6,64.1,"30,779",15.4,7,2013
Korea Advanced Institute of Science and Technology (KAIST),69.9,31.1,68.9,58.4,100,64,"9,027",10,9,2013
Purdue University,59.8,54.8,71.9,63.1,-,63.8,"39,256",18.1,22,2013
University of GÌ_ttingen,50,51,52.5,92.5,34.4,63.2,"25,581",25.6,12,2013
Wageningen University and Research Center,54.9,79.2,53.7,73.8,100,63.2,"9,248",17,21,2013
Erasmus University Rotterdam,44.5,62.8,64.1,80.2,62,62.9,"20,580",18.9,18,2013
University of Massachusetts,57.1,31.7,62.6,77.8,52.8,62.9,"56,959",13,11,2013
University of Bristol,50.1,71.9,51.7,85.4,38.7,62.5,"17,906",14,25,2013
Rice University,49.5,59,39.3,100,36.5,62,"6,333",9,26,2013
University of Pittsburgh,54.6,29.4,55.1,85.2,39.3,61.7,"26,485",5.8,10,2013
Delft University of Technology,59.9,67.7,75.1,45.1,99.9,61.6,"15,920",19.4,25,2013
Heidelberg University,61.4,61.3,49,75.5,40.7,61.4,"28,881",24.5,17,2013
Emory University,56.7,36.6,44.4,90.9,38.3,61.3,"12,338",4.5,18,2013
Durham University,42.3,77.7,44.5,93.3,34.3,60.7,"15,489",15.7,24,2013
Pierre and Marie Curie University,59.2,64.4,43.5,80.6,28.6,60.5,"27,862",8.7,18,2013
Lund University,43.6,64.4,61.3,77.1,34.2,60.3,"28,251",11.5,15,2013
University of Amsterdam,45.6,57,61.3,75.1,49,60.1,"24,570",14.4,11,2013
University of Montreal,54,74.6,57.9,60.9,95,59.8,"38,264",20.3,25,2013
University of New South Wales,52.6,84.8,63.8,56.7,50.5,59.6,"38,309",25.9,33,2013
Nanyang Technological University,45.7,90.5,66.9,54.5,99.5,59.4,"25,028",16.2,33,2013
Tufts University,52.6,39.6,36.4,94.8,39.4,59.1,"10,410",10,14,2013
McMaster University,42.3,66.9,47.9,81.7,98,59,"23,823",19.3,15,2013
University of Groningen,43.8,49.8,61,71.6,85.2,58.8,"24,556",25.6,12,2013
University of Zurich,50,84.1,41.6,80,38.3,58.8,"26,583",6.5,19,2013
University of Colorado Boulder,42.3,34.7,44.4,97.1,-,58.7,"29,325",16.1,8,2013
Paris-Sud University,48,63.9,45.9,82.9,28.4,58.6,"27,603",15,17,2013
Ghent University,46.4,49.1,56.7,71.3,95.9,58.4,"32,166",34.1,9,2013
Michigan State University,51.8,36.8,56.8,73.8,32.6,58.3,"44,750",15.7,15,2013
University of Notre Dame,48.3,41.6,39.6,93.5,29.8,58.3,"11,829",13.8,10,2013
"University of California, Irvine",44,35.2,47.2,90.3,42.1,58.2,"26,614",16.1,16,2013
"University of Maryland, College Park",44.9,40.4,51.4,83.9,32.1,57.9,"31,331",8.4,9,2013
University of Arizona,47,31.3,53.7,76.9,83.9,57.7,"36,429",12.7,8,2013
Humboldt University of Berlin,55.4,57.5,58.7,59.5,-,57.5,"29,987",52.5,16,2013
Monash University,47.8,66.4,60.6,60.9,70,57.5,"50,882",40.5,36,2013
"Rutgers, the State University of New Jersey",50.9,27.9,61.3,69.5,35.8,57.5,"37,032",17.3,8,2013
University of Rochester,46,45.9,37.8,92.3,39.6,57.2,"9,390",4.5,26,2013
University of York,41.9,71.9,43.9,83.4,38.4,57.1,,,0,2013
Case Western Reserve University,56.5,34.2,42,80.4,-,56.9,"9,259",6.4,17,2013
Technical University of Munich,51.2,61.5,42.4,76.5,49.7,56.8,"35,565",31.5,20,2013
Uppsala University,48.6,56.3,63.9,58.2,44.1,56.6,"25,266",18.2,12,2013
Vanderbilt University,51.5,27.5,40.9,85,53,56.6,"12,161",3.6,10,2013
University of St Andrews,43.2,86.3,43.8,76.6,38.9,56.5,"8,338",12.7,47,2013
University of Helsinki,42.8,48.3,53,77.7,31.1,56.4,"23,505",15.1,6,2013
Trinity College Dublin,41.9,84.5,33.5,88.1,32.8,56.2,"15,521",18,25,2013
University of Sheffield,49.5,68.1,46.2,71,41.5,56.2,"23,311",15.5,31,2013
University of Sussex,34.9,76.7,39.5,91.1,32.1,56.2,"12,001",17.4,35,2013
University of Cape Town,34.7,75.1,45.5,79.7,87.3,55.8,"20,040",12.1,18,2013
Eindhoven University of Technology,44.1,69.8,51.8,63.8,100,55.6,"8,176",16,14,2013
Maastricht University,39.7,85.2,53.2,62.5,99.1,55.5,"15,626",18.9,48,2013
Aarhus University,35.7,66.4,54.6,71.6,69.7,55.3,"23,895",13.6,14,2013
Stockholm University,31.3,52.2,43.8,93,32,55.2,"31,715",23.7,8,2013
University of Virginia,55.9,27.9,43,73.5,48.6,55,"23,845",10.2,12,2013
"Royal Holloway, University of London",30.5,92.5,27.7,99,31.9,54.9,"8,747",15.9,37,2013
University of Nottingham,48.1,70.1,50.8,62.8,38.3,54.8,"30,144",15,27,2013
University of Alberta,50.9,67.6,53.9,56.6,50.6,54.7,"36,299",21.6,23,2013
"University of California, Santa Cruz",32.1,32.5,39.6,99.9,-,54.5,"17,404",22.7,1,2013
University of Florida,52,31.2,62.9,56,-,54.5,"50,095",18.7,9,2013
Chinese University of Hong Kong,53.7,62.6,63.1,45.1,44.5,54.4,"17,916",10.2,22,2013
Dartmouth College,47.5,31.5,35.9,87,38.6,54.4,"6,178",6.6,16,2013
University of Warwick,48.9,80.9,50.5,58.8,35.3,54.4,"18,529",16.6,37,2013
Radboud University Nijmegen,35.7,53.4,54.3,73.3,41.7,54,"17,713",13,10,2013
Free University of Berlin,53.1,60.9,56.5,51.5,32.8,53.7,"33,062",39.3,20,2013
Tokyo Institute of Technology,58,29.6,56.1,52,65.3,53.7,"9,586",7.3,13,2013
University of Copenhagen,42.2,73.5,40.4,74.3,39.7,53.6,"27,545",4.1,19,2013
University of Lausanne,33,82.7,44.8,76.2,45.8,53.6,"11,964",13.1,22,2013
University of Southampton,37.9,77.4,38.9,79.2,41.8,53.6,"20,925",13.5,29,2013
University of Geneva,36.2,95.3,42.5,73.1,32.4,53.5,"15,668",15,39,2013
Indiana University,48.3,36,44.2,72.5,-,53.2,"62,468",13.6,13,2013
National Taiwan University,56.4,24.6,65.7,45.5,44,53.2,"31,891",11.9,7,2013
University of Utah,43.3,25.2,41.3,81,63.3,53.2,"25,674",16.9,9,2013
Hebrew University of Jerusalem,48.8,50.3,55.8,57,33.6,53.1,"17,612",10.7,5,2013
Tohoku University,57.7,32,55.6,48.9,80.7,53.1,"17,200",5,7,2013
University of Glasgow,37.3,69.7,40.2,78.1,44.1,53,"22,616",16,29,2013
KTH Royal Institute of Technology,47.5,86.1,49.7,49.1,100,52.9,"12,062",14.6,21,2013
VU University Amsterdam,40.5,47.1,45.1,74.2,58.5,52.9,"23,280",16.3,6,2013
University of Basel,37.1,89.8,23.2,87.8,64.2,52.8,"12,551",17.3,24,2013
University of Leeds,41.5,66.6,48.6,65.8,41.3,52.8,"27,703",14.7,21,2013
University of Freiburg,48.3,54.9,33,72.4,81.1,52.3,"26,467",31.2,16,2013
Lancaster University,37.7,76.2,40.9,73.2,31.8,52.1,"11,512",14.9,33,2013
Queen Mary University of London,33.1,87,30,85.4,42.7,52.1,"14,260",14,40,2013
Osaka University,59.5,23.6,55.7,46.4,69.6,52,"23,144",7.8,9,2013
Arizona State University,38.4,27.4,45.2,79.9,31.8,51.9,"83,236",29.9,9,2013
Technical University of Denmark,37.9,77,30,76.9,98.7,51.7,"9,990",5,18,2013
Boston College,34.5,52.4,33.2,88.7,-,51.6,"13,216",17.4,19,2013
Karlsruhe Institute of Technology,46.3,64.5,38.9,63.4,82.9,51.5,"25,294",24.6,16,2013
University of Bern,43,77.3,36,69.7,42,51.5,"14,708",22.5,14,2013
University of Exeter,33.2,74.1,38.1,78.1,37.1,51.3,"17,755",18.8,28,2013
RWTH Aachen University,45.3,53.9,32.4,73.8,63.1,51.1,"37,917",27.6,16,2013
"University of California, Riverside",29.1,62.8,32.5,90.3,33.5,51.1,"20,626",22,12,2013
Texas A&M University,46.4,47.2,58.3,49.3,45.5,50.9,"50,657",21.4,9,2013
Yeshiva University,51.7,28.4,30.1,78.8,-,50.9,"6,753",5.5,7,2013
Tel Aviv University,50.7,39.5,59.8,43.7,49.2,50.5,"23,977",24.4,4,2013
University of Birmingham,44.8,69.7,46.7,56.3,38.4,50.5,"25,295",16.4,23,2013
University of SÌ£o Paulo,63,24.5,65.7,30.2,40,50.5,"81,402",14.6,4,2013
University of Auckland,34,88,40.9,64.2,76.6,50.3,"29,787",18.9,28,2013
Stony Brook University,38.8,52.8,29.9,82.9,31.6,50.2,"21,908",10.9,24,2013
University of Vienna,44.3,86.3,46.7,52.4,29.1,50.2,"34,651",20.5,25,2013
UniversitÌ© Catholique de Louvain,38.6,64.3,40.5,68.8,34.5,50,"28,856",42,19,2013
University of Delaware,30,37.3,41.6,76.6,97.7,49.7,"19,262",15.9,10,2013
Paris Diderot University ‰ÛÒ Paris 7,31.9,66.8,27.1,87.9,-,49.6,"27,756",14.8,17,2013
University of Texas at Dallas,32.6,46.8,32.2,85.2,40,49.5,"16,306",22.8,23,2013
George Washington University,48.1,36.6,28,77.1,30,49.4,"20,541",12,16,2013
University of Iowa,49,26.4,40.9,65.7,-,49.3,"27,526",11.6,11,2013
Ìäcole Normale SupÌ©rieure de Lyon,40.8,61,25.9,79.6,28.9,49.2,"2,218",8,14,2013
University of Bonn,40.9,54,26.1,80.4,-,49,"32,474",70.4,13,2013
University of Liverpool,38.7,73.7,37.5,64.8,46.4,49,"18,815",13.6,30,2013
University of Ottawa,40.8,58.1,41.4,63.1,43,49,"36,733",26.3,15,2013
Georgetown University,56.4,32.9,35.6,59.8,-,48.9,"15,408",8.5,14,2013
Rensselaer Polytechnic Institute,36.2,32.9,40.2,73,66.8,48.9,"6,671",15,16,2013
University of Aberdeen,31.9,84.1,34.3,71.5,48.9,48.8,"12,938",15.8,33,2013
University of Adelaide,37.3,82.2,43.7,55.9,63.2,48.8,"20,771",30.1,26,2013
University of East Anglia,29.6,68.9,27.7,85.5,30.7,48.8,"14,992",14.7,28,2013
University of Reading,39.3,72.4,41.1,61.3,35.2,48.8,"12,050",14.8,28,2013
Joseph Fourier University,36.6,56.3,26.5,81.8,36.3,48.6,"16,130",12.1,13,2013
Newcastle University,37.9,74.4,30.5,72.1,37.4,48.6,"20,174",15.2,29,2013
City University of Hong Kong,35.2,64,41.8,64.1,53.6,48.5,"10,015",7.1,28,2013
Yonsei University,48.3,33.4,50.6,48.6,56.1,48.2,"24,774",11.6,14,2013
Colorado School of Mines,24.9,51.2,22.5,94.3,66,48,"5,287",18.2,12,2013
University of Illinois at Chicago,53.9,29.1,42.6,52.9,40.4,48,"24,313",9.2,17,2013
William & Mary,41.3,25.8,22.6,87.1,29.9,48,"7,867",11.8,7,2013
University College Dublin,31.1,76.5,31.8,74.9,35.3,47.9,"22,193",24.5,23,2013
University of Twente,35.8,61.5,46.4,55.6,79.7,47.9,"6,631",12,26,2013
Medical University of South Carolina,46.2,27.7,39.6,59.7,77.1,47.7,,,0,2013
University of Western Australia,35,88.4,39.9,55.7,60,47.3,"20,851",20.7,27,2013
Wake Forest University,37.5,19,22.4,89.1,48,47.3,"7,326",4.6,5,2013
University of Antwerp,33.8,58.5,35.5,64.8,100,47.1,"12,346",30.3,16,2013
Iowa State University,35.7,30.5,34.3,74.9,44,46.9,"29,991",17.4,11,2013
Technion Israel Institute of Technology,44.8,55.9,50.2,44,40.8,46.9,"13,855",19.4,4,2013
University of Miami,48.7,33.1,27,69.7,-,46.9,"15,286",5.7,14,2013
University of Leicester,33,83.7,32.5,66.5,34.9,46.7,"14,541",13.4,35,2013
University of Victoria,20.2,65.9,33.7,82.7,30.6,46.7,"17,581",21.5,11,2013
University at Buffalo,46.3,50.7,40.6,52.1,42.4,46.6,"25,668",19,19,2013
Goethe University Frankfurt,33.3,57.6,29.7,73.9,41.4,46.4,"31,861",9.3,15,2013
"Birkbeck, University of London",27.6,83.2,30.5,72.8,29.4,46.2,"9,454",17.2,38,2013
Autonomous University of Barcelona,39,47.1,35.7,62.8,37.3,-,"30,538",12.3,10,2013
Brandeis University,27.3,45.3,27.9,83.1,37.4,-,"5,495",12.6,22,2013
Cardiff University,32.5,68.1,38.2,60.2,39.8,-,"23,347",13.1,23,2013
Fudan University,45.3,38.6,39.5,51.3,46.3,-,"32,175",12.2,11,2013
Johannes Gutenberg University of Mainz,33.5,57,18.4,85.2,-,-,"35,609",32.6,10,2013
Lomonosov Moscow State University,63.5,50.3,48.1,19.7,70.1,-,"30,822",7.7,20,2013
Middle East Technical University,50.8,28,46,44.6,50.6,-,"25,779",22.2,7,2013
Nagoya University,44.2,25.3,39.2,53.3,35.5,-,"15,529",7.9,10,2013
Northeastern University,40.1,41,21.2,76.4,33.8,-,"18,539",15.1,26,2013
Pompeu Fabra University,27.3,49.9,23.2,77.5,34.2,-,"10,901",18.3,13,2013
Queen‰Ûªs University,39.5,58,35.4,51.2,77.3,-,"20,488",22.1,10,2013
"St George‰Ûªs, University of London",20,57.9,22.6,89.7,44.1,-,"2,958",13.4,17,2013
Sungkyunkwan University (SKKU),47.1,30.9,48.7,39.3,98.7,-,"24,365",20.3,9,2013
Tilburg University,38.2,56.6,54.5,33.7,54.8,-,"7,576",22.4,10,2013
University of Barcelona,32.5,46,33.4,71.4,30.9,-,"47,491",12.2,10,2013
University of Dundee,24.8,66.6,23.2,81.1,49.9,-,"11,628",15.3,25,2013
University of Erlangen-Nuremberg,35,49,18.7,74.6,45.2,-,"36,146",53.9,9,2013
University of Georgia,45.4,36.2,40.1,46.8,31.3,-,"33,119",19.9,7,2013
University of Gothenburg,28.3,48.4,41.9,63.8,38.6,-,"26,420",16.4,12,2013
University of Innsbruck,36.6,88.7,17.9,71.6,38.2,-,"18,209",16.9,39,2013
University of Konstanz,32.6,58.5,35.6,64.5,51.9,-,"10,930",59.1,12,2013
University of Oslo,33.5,59,39.8,62.3,31.4,-,"27,139",18.8,18,2013
University of Science and Technology of China,39.2,22,27.7,72.7,50.1,-,"14,290",7.9,2,2013
University of Strasbourg,29.7,68.3,29.2,72,34.8,-,"46,208",17.8,21,2013
University of TÌ_bingen,36.3,56.3,25.1,73.8,31.6,-,"28,327",38.9,12,2013
Bilkent University,34.7,42,30.5,60.1,39.9,-,,,0,2013
Carleton University,18.3,56.8,26.7,75.1,-,-,"25,036",29.8,18,2013
Chalmers University of Technology,29.9,65.3,41.5,47.7,78.5,-,"8,605",11.6,15,2013
Florida Institute of Technology,16.2,58.4,11.9,92.5,28.7,-,"4,408",13.7,26,2013
Georgia Health Sciences University,49.4,32.6,17.5,62,43.6,-,,,0,2013
Indian Institute of Technology Kharagpur,44.2,16.1,45.3,39,72.4,-,"9,928",17.5,0,2013
Korea University,44.7,27.3,43.7,39.4,52.1,-,"24,043",15.8,14,2013
KoÌ_ University,20.4,52.8,22.3,79.2,37.9,-,"4,488",14.6,8,2013
Laval University,36.4,54.4,27.3,57.5,56.6,-,"27,227",16.2,12,2013
Mines ParisTech,39.5,62.4,25.6,51.7,99.4,-,"1,283",5.6,22,2013
National Research Nuclear University MePhI,20.9,18.8,10.6,100,59.6,-,"7,801",7.3,7,2013
National Tsing Hua University,45.5,20.1,44.1,44.4,44,-,"10,221",13.5,5,2013
Simon Fraser University,24,55.6,35.3,61,41.6,-,"26,640",28.3,19,2013
Technical University of Darmstadt,37.8,64.4,31.8,44.4,84.4,-,"20,300",53.6,18,2013
Tulane University,42.8,31.2,22.6,66.8,-,-,"11,381",8.4,8,2013
University of Bergen,28.3,71,26.8,66.2,41.1,-,"11,623",11.1,12,2013
University of Calgary,37.3,62.2,35.8,47.1,42.8,-,"28,341",16.5,17,2013
University of Cincinnati,34.9,23.9,26.5,69.5,35.8,-,"36,108",15.7,6,2013
University of Missouri,40.4,30.8,45.8,45.2,31.1,-,"29,885",14.1,5,2013
University of Otago,28.8,85.4,30.9,54.8,37.2,-,"18,600",20.3,21,2013
University of South Florida,32.6,19.7,42,48.4,98.9,-,"31,424",21.5,10,2013
University of the Witwatersrand,28.6,65.1,38.3,49.8,98.4,-,"23,321",18.6,9,2013
University of Waterloo,34.7,58.3,42.1,41.8,39.4,-,"30,726",24.2,14,2013
University of Western Ontario,39.4,51.3,37.2,44.8,44.6,-,"27,387",20.7,16,2013
University of WÌ_rzburg,33,44.8,19.4,70.9,30.4,-,"26,576",38.4,8,2013
UniversitÌ© Libre de Bruxelles,25.6,78.2,30.6,59.3,54.9,-,"23,819",26.1,32,2013
Aalto University,34.4,52,26.8,50.1,73.7,-,"16,099",24.2,17,2013
Dalhousie University,30.2,59.1,29.8,54.3,65,-,"15,064",14.4,18,2013
Hong Kong Polytechnic University,34.6,65.4,41.2,39.8,42.2,-,"22,064",25.9,26,2013
Indian Institute of Technology Bombay,47.3,19.9,33.1,45.6,52.7,-,"8,327",14.9,1,2013
Macquarie University,22,86.8,29.6,54.8,37.2,-,"27,930",20,44,2013
Nanjing University,41.3,48.4,25.3,52.1,47.7,-,"29,743",13.3,10,2013
National Chiao Tung University,39.6,27.2,49.6,31.5,99,-,"12,646",16.6,5,2013
Norwegian University of Science and Technology,34.2,57.5,27.7,50.8,45.2,-,"17,381",13.9,9,2013
Queensland University of Technology,27.6,69.2,37,47,58.9,-,"33,391",35.8,17,2013
State University of Campinas,51.7,20.9,46.8,26.5,44.9,-,"27,095",15.3,3,2013
Stellenbosch University,31.5,47.8,35,48.9,96.6,-,"21,849",23,8,2013
Tokyo Metropolitan University,19,19.6,9.8,97.1,31.1,-,"9,303",9.9,4,2013
UmeÌ´ University,23.5,52.4,34.5,59.6,29.7,-,"16,667",11.9,7,2013
University of Connecticut,42.5,40.5,29.7,50,32.6,-,"25,742",13,11,2013
University of Essex,33.7,86.4,34.6,39.6,31,-,"12,695",19.8,39,2013
University of Iceland,11.4,59.9,28,71,74.4,-,"13,960",25.9,8,2013
University of Kiel,32.1,44.6,27,62.5,35.6,-,"24,444",23.8,8,2013
University of Milan,36.3,35.7,24.2,61,38.2,-,"58,618",24.3,5,2013
University of Milan-Bicocca,26.1,36.2,21.1,76,39,-,"33,370",72.5,5,2013
University of MÌ_nster,35.9,43.2,20.4,63.6,38.2,-,"39,838",46.1,8,2013
University of Oregon,31.5,30.2,21.7,70.4,-,-,"24,418",20.2,11,2013
University of Trieste,19.6,48.5,14.3,82.2,33.6,-,"18,135",25.8,9,2013
Victoria University of Wellington,22.3,84.8,29.1,55.6,43,-,"17,142",21.1,21,2013
Vienna University of Technology,44.8,71.4,32.4,34.2,65.5,-,"26,419",52,27,2013
Aberystwyth University,23.8,63.1,21.7,64.3,34.9,-,"9,252",19.2,18,2013
Bangor University,27.6,70.3,25.7,53.8,31.6,-,"9,567",19.5,22,2013
Bayreuth University,25.6,50.4,14.9,72.1,35.4,-,"12,520",35.5,8,2013
Bielefeld University,27.4,47.5,20.3,63.5,35.1,-,"21,428",67.8,8,2013
Bo€ÙaziÌ_i University,35.4,36.7,33.9,48.1,38.4,-,"11,506",25,7,2013
Colorado State University,30.8,29.8,32,55.8,-,-,"26,769",19,5,2013
Drexel University,34.7,36.6,14.9,65.1,34.7,-,"20,713",10.8,18,2013
Istanbul Technical University,34.9,20.8,25.5,52.9,98,-,"34,550",16,5,2013
Montpellier University,22.2,54.2,25.8,64.4,32.8,-,"36,731",18.4,14,2013
Oregon State University,27.1,34.2,24.2,64.1,31,-,"22,578",16.8,9,2013
Queen‰Ûªs University Belfast,28,87.1,23.8,52.2,48.1,-,"17,940",17.9,30,2013
Ruhr University Bochum,36.7,48.3,32.9,42.4,54.3,-,"38,675",46.3,13,2013
Shanghai Jiao Tong University,43.4,20.7,37.9,31.3,76.1,-,"38,191",12.8,6,2013
Swedish University of Agricultural Sciences,28.4,46.8,25.3,54.6,99.8,-,"3,879",4.6,0,2013
Tokyo Medical and Dental University (TMDU),47.5,21.9,21.6,47.1,45.4,-,"2,872",3.3,7,2013
TU Dresden,29.7,48.9,15.6,63.9,36.1,-,"35,487",37.4,12,2013
University of Bath,28,75.9,28.8,50.2,42.8,-,"12,830",18.8,30,2013
University of Bologna,34.4,37.6,27.4,53.9,35.1,-,"85,532",22.9,7,2013
University of Kansas,36.1,28.1,20.5,57.2,34.5,-,,,0,2013
University of Montana,28.9,24.9,14.9,72.1,34.1,-,"12,470",15.2,3,2013
University of Newcastle,21.1,70.5,29,49.8,72.9,-,"23,508",21.9,18,2013
University of South Carolina,37.5,31.3,28,53.2,30.8,-,"29,336",16.3,1,2013
University of Southern Denmark,18.6,67.3,19.6,67.3,75.5,-,"22,210",12.7,16,2013
University of Trento,28.7,51.2,21.9,62.1,45.3,-,"16,841",43.2,8,2013
University of Turin,22.6,36.3,23.4,66.2,40.4,-,"67,552",66,6,2013
Virginia Polytechnic Institute and State University,38.5,27.8,44.4,37.2,27.9,-,"30,850",18.6,10,2013
Autonomous University of Madrid,32,45.7,24,51.9,34.7,-,"28,296",13,15,2013
Brunel University London,19.3,89.4,20.1,58.2,33.4,-,"12,613",17.6,38,2013
Charles University in Prague,34.7,50.3,26.2,42,28.1,-,"51,438",13,15,2013
Claude Bernard University Lyon 1,23.6,50,17.1,62.6,-,-,"35,308",16.1,11,2013
Creighton University,42.4,26,9.3,61,-,-,"7,086",8.3,2,2013
Hokkaido University,45.1,24.9,34.2,32.3,41.3,-,"18,162",8.2,9,2013
Hong Kong Baptist University,22.9,62,15.1,57.6,29.6,-,"10,441",11,25,2013
Johannes Kepler University of Linz,22,59,13.8,59.3,-,-,"19,646",29.1,10,2013
King Abdulaziz University,19.7,71,10.3,63.4,40.2,-,"35,889",8.4,21,2013
Kyushu University,44,21.7,28.8,30.7,73.1,-,"18,925",6.7,8,2013
LinkÌ_ping University,21.1,47.7,27,53.3,38,-,"17,866",7.7,10,2013
Medical University of Vienna,23.7,66.2,13.4,66,33.2,-,"7,426",2.9,28,2013
Murdoch University,19.4,83.3,18.9,49.6,44.2,-,"16,606",32.8,43,2013
National Cheng Kung University,33.1,22.9,40.3,30.4,99.9,-,"21,234",14.4,11,2013
National Sun Yat-Sen University,27.9,23.9,32.5,48.5,43.9,-,"9,336",19.6,4,2013
"National University of Ireland, Galway",22.6,69.3,19.8,51.9,41.1,-,"14,067",26.8,14,2013
North Carolina State University,34.8,29.2,28.8,47.6,35.7,-,"30,533",13.6,11,2013
Polytechnic University of Milan,27.2,38.1,23.8,47.7,68.1,-,"30,025",22.2,12,2013
Renmin University of China,36.1,45.8,12,59.6,44,-,"24,954",12.7,6,2013
Sapienza University of Rome,35.3,33.2,30.6,39.1,36,-,"120,986",32.3,7,2013
Sharif University of Technology,32.9,16.7,42.8,34.2,93,-,"10,977",18.7,0,2013
State University of New York Albany,30.2,27.8,30,52.9,-,-,"15,387",18.5,8,2013
Sun Yat-sen University,33.1,24.2,17.8,52.2,43.5,-,"51,351",16.6,8,2013
UiT The Arctic University of Norway,21.7,61.8,19.4,56.4,29.1,-,"10,398",12.2,10,2013
University College Cork,25.3,71.5,19.5,47.4,38.8,-,"15,805",22.3,15,2013
University of Canterbury,19.9,88,24,48.4,49.8,-,"12,187",16.5,20,2013
University of Crete,17.1,44.4,16.3,68.6,34.1,-,"14,650",26.9,5,2013
University of Eastern Finland,22.4,39.5,19.1,58.1,36.7,-,"10,798",17.3,6,2013
University of Fribourg,20.8,59.5,11,69.4,-,-,"10,416",46.9,19,2013
University of Graz,26.9,59.7,17.6,57.4,29.5,-,"20,584",26.8,12,2013
University of Guelph,24.4,39,31.3,48.2,48.1,-,"21,643",28.3,4,2013
University of Kentucky,39.1,21.7,27.8,45.5,-,-,,,0,2013
University of Manitoba,31.6,38.6,32.4,44.4,43.5,-,"28,576",27.8,11,2013
"University of Maryland, Baltimore County",19.4,32.6,16.4,65.2,32.6,-,"13,908",18.1,7,2013
University of Padua,21,37,21.4,64.5,31.7,-,"62,577",18.3,4,2013
University of Pavia,25.6,34.4,18.3,56.3,60.6,-,"22,958",40.6,6,2013
University of Pisa,22.6,29.6,23.2,63.8,39.4,-,"47,247",18,4,2013
University of Portsmouth,12.8,70.2,10.5,72.3,29.2,-,"20,161",19.1,23,2013
University of South Australia,28.4,81,25,34.1,83.7,-,"18,971",26.2,32,2013
University of Tampere,25.6,35,23.9,51.2,49.3,-,"10,045",9.5,4,2013
University of Tsukuba,39.9,30.7,26.2,45.3,33,-,"15,930",12.6,16,2013
University of Vermont,28.5,19.9,20.6,58.6,-,-,,,0,2013
University of Waikato,17.7,85.6,19.9,61.9,28.2,-,"10,159",17,25,2013
University of Wollongong,22.5,83.7,27.3,47.4,54,-,"16,489",25.4,24,2013
Vrije Universiteit Brussel,26.7,48.4,26.8,53.8,37.5,-,"9,020",17.1,16,2013
Washington State University,29.9,33.9,30.6,47.1,55.8,-,"24,550",18.3,7,2013
Wayne State University,34.3,28.1,16.2,58.4,-,-,"23,065",10.7,7,2013
York University,20.9,50.7,30.1,50.5,41.9,-,"48,007",39.4,9,2013
Zhejiang University,40.3,20.1,34.5,32.6,89,-,"47,508",15.9,5,2013
Aalborg University,21.7,67.2,24.9,41,39,-,"17,422",15.9,15,2013
"Binghamton University, State University of New York",23.3,30.7,21.9,51.1,33.4,-,"15,799",23.3,14,2013
Charles Darwin University,17.2,44.3,15.3,53.3,32.5,-,"5,570",25.4,15,2013
Deakin University,20,68.4,22,47.1,30.1,-,"32,713",30.4,17,2013
Flinders University,22.4,59.8,24.2,38.4,39.1,-,"15,655",22.6,15,2013
George Mason University,27.2,34.9,19.7,53,28.2,-,"26,622",17,7,2013
Heriot-Watt University,20.7,84.2,21.4,42.1,48.4,-,"8,773",17.8,43,2013
Indian Institute of Technology Roorkee,30.4,15.6,13.7,45.8,70.4,-,"8,061",18.7,1,2013
Jagiellonian University,22.7,41.7,13.8,48.2,29.5,-,"42,835",11.5,5,2013
Keele University,16.3,64.2,18.8,55.1,31.7,-,"8,397",15.7,20,2013
Keio University,32.5,22.2,28,39.7,43.1,-,"33,751",11.9,5,2013
King Mongkut‰Ûªs University of Technology Thonburi,11.3,23.8,10.2,68.4,60.2,-,"17,791",23.7,1,2013
Lehigh University,26,30.4,19.7,50.6,40.1,-,"6,300",11.3,15,2013
Leibniz University of Hanover,36.6,48.2,19.1,35.1,40.3,-,"22,401",62.7,12,2013
